ID,Site,Date,Crew,Crew Count,EventType,Method,Equipment,StartTime,EndTime,TotalEffort,TransectBottomLat,TransectBottomLong,TransectTopLat,TransectTopLong,ObsID,Species,Count,Length,FishStatus,CaptureType,ClipType,LavageID,StomachContents,StomachContentsWeight,FishContentWeight,Water_Temperature,TagNumber,Comments
11,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,11,Northern Pikeminnow,1,326,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
12,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,12,Northern Pikeminnow,1,261,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
13,Deadwater Slough,10/20/2020,Mike Edmonson,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,16:00,18:00,240,45.382689,-114.066274,45.38974,-114.046771,13,Northern Pikeminnow,1,224,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
14,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,1,Northern Pikeminnow,1,287,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
15,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,2,Northern Pikeminnow,1,294,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
16,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,3,Northern Pikeminnow,1,395,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
17,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,4,Northern Pikeminnow,1,270,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
18,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,5,Northern Pikeminnow,1,310,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
19,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,6,Northern Pikeminnow,1,250,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
20,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,7,Northern Pikeminnow,1,325,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
21,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,8,Northern Pikeminnow,1,351,Live,Mark,Upper Caudal Clip,BH20-001,,,,10.1,,
22,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,9,Northern Pikeminnow,1,304,Dead,,,Empty,,,,10.1,,Sacrificed
23,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,10,Northern Pikeminnow,1,271,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
24,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,11,Northern Pikeminnow,1,304,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
25,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,12,Northern Pikeminnow,1,331,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
26,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,13,Northern Pikeminnow,1,374,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
27,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,14,Northern Pikeminnow,1,354,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
28,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,15,Northern Pikeminnow,1,289,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
29,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,16,Northern Pikeminnow,1,329,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
30,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,17,Northern Pikeminnow,1,289,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
31,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,18,Northern Pikeminnow,1,292,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
32,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,19,Northern Pikeminnow,1,278,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
33,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,20,Northern Pikeminnow,1,448,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
34,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,21,Northern Pikeminnow,1,418,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
35,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,22,Northern Pikeminnow,1,407,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
36,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,23,Northern Pikeminnow,1,473,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
37,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,24,Northern Pikeminnow,1,435,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
38,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,25,Northern Pikeminnow,1,340,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
39,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,26,Northern Pikeminnow,1,341,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
40,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,27,Northern Pikeminnow,1,428,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,Right hook scar
41,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,28,Northern Pikeminnow,1,366,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
42,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,29,Northern Pikeminnow,1,459,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
43,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,30,Northern Pikeminnow,1,349,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
44,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,31,Northern Pikeminnow,1,324,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68150,
45,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,32,Northern Pikeminnow,1,329,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68149,
46,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,33,Northern Pikeminnow,1,357,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68148,
47,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,34,Northern Pikeminnow,1,336,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68147,
48,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,35,Northern Pikeminnow,1,350,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68146,
49,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,36,Northern Pikeminnow,1,300,Live,Mark,Upper Caudal Clip,BH20-002,,,,10.1,10-68145,
50,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,37,Northern Pikeminnow,1,382,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68144,
51,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,38,Northern Pikeminnow,1,387,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68143,
52,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,39,Northern Pikeminnow,1,304,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68142,
53,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,40,Northern Pikeminnow,1,289,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68141,
54,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,41,Northern Pikeminnow,1,256,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,10-68140,
55,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,42,Northern Pikeminnow,1,280,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
56,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,43,Northern Pikeminnow,1,320,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
57,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,44,Northern Pikeminnow,1,344,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
58,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,45,Northern Pikeminnow,1,354,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
59,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,46,Northern Pikeminnow,1,260,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
60,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,47,Northern Pikeminnow,1,331,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
61,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,48,Northern Pikeminnow,1,361,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
62,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,49,Northern Pikeminnow,1,309,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
63,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,50,Northern Pikeminnow,1,294,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
64,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,51,Northern Pikeminnow,1,323,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
65,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,52,Northern Pikeminnow,1,255,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
66,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,53,Northern Pikeminnow,1,311,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,Talon mark left side
67,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,54,Northern Pikeminnow,1,328,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
68,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,55,Northern Pikeminnow,1,312,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
69,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,56,Northern Pikeminnow,1,298,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
70,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,57,Northern Pikeminnow,1,226,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
71,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,58,Northern Pikeminnow,1,294,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
72,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,59,Northern Pikeminnow,1,246,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
73,Deadwater Slough,10/20/2020,Brian Hamilton,1,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,8:30,18:00,570,45.382689,-114.066274,45.38974,-114.046771,60,Northern Pikeminnow,1,275,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
74,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,1,Northern Pikeminnow,1,343,Dead,,,Empty,,,,10.1,,Sacrificed
75,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,2,Northern Pikeminnow,1,508,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
76,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,3,Northern Pikeminnow,1,419,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
77,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,4,Northern Pikeminnow,1,324,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
78,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,5,Northern Pikeminnow,1,500,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
79,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,6,Northern Pikeminnow,1,466,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
80,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,7,Northern Pikeminnow,1,309,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
81,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,8,Northern Pikeminnow,1,314,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
82,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,9,Northern Pikeminnow,1,510,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
83,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,10,Northern Pikeminnow,1,477,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
84,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,11,Northern Pikeminnow,1,361,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
85,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,12,Northern Pikeminnow,1,497,Live,Mark,Upper Caudal Clip,KH20-001,,,,10.1,,
86,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,13,Northern Pikeminnow,1,366,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
87,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,14,Northern Pikeminnow,1,397,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
88,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,15,Northern Pikeminnow,1,339,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
89,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,16,Northern Pikeminnow,1,371,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
90,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,17,Northern Pikeminnow,1,369,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
91,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,18,Northern Pikeminnow,1,327,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
92,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,19,Northern Pikeminnow,1,354,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,potential healed lc clip
93,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,20,Northern Pikeminnow,1,291,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
94,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,21,Chiselmouth,1,297,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
95,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,22,Northern Pikeminnow,1,459,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
96,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,23,Northern Pikeminnow,1,376,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
97,Deadwater Slough,10/20/2020,Mike Hall; Kate Hall,2,Mark,Angling,Boat; Sprinning Rods; Jig Shrimp,9:00,12:00,360,45.382689,-114.066274,45.38974,-114.046771,24,Northern Pikeminnow,1,413,Live,Mark,Upper Caudal Clip,Empty,,,,10.1,,
